,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
69,Identifying open-texture in regulations using LLMs,Guitton C.; Gubelmann R.; Karray G.; Mayer S.; Tamò-Larrieux A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004360223&doi=10.1007%2fs10506-025-09450-0&partnerID=40&md5=8bbef6ddb15611e9337b57723eeb96de,Article,identifying open-texture in regulations using llms,New,FALSE,FALSE,Analyze now,Jati,‘,Yes,F,,1,,1,,"Legal domain (regulatory documents, specifically GDPR)","Automatic detection of open-texture (vague, ambiguous, under-specified, or abstract terms) in legal texts","gpt-3.5-turbo, llama-2-70b-chat (plus additional sensitivity analysis with Gemma2, Mixtral, Llama3, GPT-4o)",No,No,standalone,prompt-based extraction of open-textured terms; sensitivity analysis with prompt variations and few-shot examples,"zero-shot, few-shot (in sensitivity analysis)","Instruction, Instruction + Descriptive, with and without few-shot examples",Yes,no,No,"GDPR (General Data Protection Regulation), annotated dataset (https://osf.io/frjxg/)",Yes,"precision, recall, F1-score, Cohen’s kappa (inter-annotator agreement)","expert study (12 law students as annotators, majority vote, comparison with LLM output)","functional suitability, usability, reliability",1,1,1,1,4,1,1,0,1,1,0,1,1,0,1,"concept/prototype, discussed potential, barriers highlighted",Low inter-annotator agreement; subjectivity of open-texture; use of law students instead of professionals; prompt/LLM sensitivity; not all legal tasks covered.
70,RE-Miner 2.0: A Holistic Framework for Mining Mobile Application Reviews,Tiessler M.; Motger Q.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006492184&partnerID=40&md5=1947a754590410799d7814a2a80e9793,Conference paper,re-miner 2.0: a holistic framework for mining mobile application reviews,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,1,1,,,,Mobile application reviews (app stores/marketplaces),"Feature extraction, emotion classification, topic analysis, review type identification, polarity analysis, feature clustering","GPT-3.5 (for emotion extraction), BERT, BETO, RoBERTa, DistilBERT, SVM, MLP, T-FREX, TransFeatEx, HCA (custom)",Yes,No,"Hybrid (microservice-based, multi-model)",,,"N/A (API/microservice-based, not prompt-driven)",no,RE-Miner 2.0,yes,"T-FREX, AWARE, de Amba et al., Araujo et al., Polarity Analysis Dataset, Review Type Analysis Dataset, Review Topic Analysis Dataset",yes,"quantitative ground-truth evaluation (accuracy, cross-validation), performance efficiency (response time, scalability), usability (user study, satisfaction)","Planned/ongoing: empirical evaluation, cross-validation, user studies","performance_efficiency, usability",1,1,0.5,1,3.5,1,0,1,1,0,0,0,1,0,0,"concept/prototype (work-in-progress, demo available)","Generalization, annotation quality, domain specificity, real-world variation"
71,StuGPTViz: A Visual Analytics Approach to Understand Student-ChatGPT Interactions,Chen Z.; Wang J.; Xia M.; Shigyo K.; Liu D.; Zhang R.; Qu H.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000387127&doi=10.1109%2fTVCG.2024.3456363&partnerID=40&md5=ce1c8badfd7da3cb3fc993a46c5ffbff,Article,stugptviz: a visual analytics approach to understand student-chatgpt interactions,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,1,1,,1,,Education (graduate-level data visualization course),"Analysis of student-ChatGPT interaction patterns, cognitive level classification, prompt strategy mining, and evaluation of learning outcomes in educational tasks","ChatGPT (OpenAI, specific version not stated)",No,No,Standalone,"Prompt pattern mining, cognitive level coding, information gain metric, expert-in-the-loop coding",N/A,N/A,no,StuGPTViz,no,"Student-ChatGPT conversation dataset (data visualization course, Spring 2024)",no,"Information Gain (custom metric), Response Relevance (Ragas), Response Correctness (manual), Learning Outcome (score), Frequency, Length","Case study, expert interview, questionnaire, manual coding, correlation analysis","functional_suitability, usability, performance_efficiency",1,1,1,1,4,0,1,0,1,0,0,1,0,0,0,"concept/prototype, discussed potential, barriers highlighted (scalability, generalizability)","Scalability for large classes, generalizability to other domains, ChatGPT's limitations in visual data interpretation"
72,Early Fault-Detection in the Development of Exceedingly Complex Reactive Systems,Marron A.; Harel D.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001847800&doi=10.5220%2f0013369200003896&partnerID=40&md5=d566d05c95d6a10779309ac47dd0c176,Conference paper,early fault-detection in the development of exceedingly complex reactive systems,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,1,1,1,1,,"General domain, with focus on super-reactive (complex, interwoven, evolving) systems (e.g., autonomous vehicles, critical infrastructure, etc.)","Early fault detection, simulation, analysis, and handling of hidden faults in requirements and specifications using natural language and LLMs",Not specified (mentions OpenAI ChatGPT and LLMs in general),No,No,Hybrid,,,"Instruction, scenario description, iterative",Yes,"i-model, Intelligent Development Aide (IDA), i-model Builder, i-model Analyzer, Emergent Effect Detector, Repair Advisor",no,no,no,"Qualitative demonstration (scenario-based, e.g., traffic scenario with ChatGPT)","Demonstrative example, position/vision paper (no formal experiment)","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,0.5,0.5,1,3,0,0,1,1,0,0,1,0,0,1,"concept/prototype, discussed potential, barriers highlighted","Scalability, need for human review, LLM errors/hallucinations, lack of formal evaluation"
73,An Experience Report on Leveraging LLMs for GUI Generation: Automating Coding to Prioritise Creativity,Broccia G.; Borselli A.; Cefaloni M.R.; Delcorno F.; Ferrari A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006503622&partnerID=40&md5=d42fc80a39f6c7ed1a05fd3d015dfae4,Conference paper,an experience report on leveraging llms for gui generation: automating coding to prioritise creativity,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,1,1,,,,"GUI design for predictive maintenance dashboard in railways (industrial case study, railway domain)","Requirements analysis, information architecture extraction, mockup generation, and mockup refinement for a predictive maintenance dashboard","ChatGPT (GPT-4o, GPT-3.5), DeepSeek-V3",No,No,Standalone,"Role-based prompting, iterative refinement, human-in-the-loop","Zero-shot, iterative","Instructional, role-based, iterative",Yes,No,No,No,No,Stakeholder feedback (qualitative),"Experience report, focus group with stakeholders","functional_suitability, usability",1,0.5,1,1,3.5,0,0,0,0,0,0,0,0,0,0,"concept/prototype (industrial pilot, not in production)","Empirical rigor limited (experience report, not controlled study); generalizability limited; workflow constraints with LLMs; risk of unrealistic stakeholder expectations"
74,A linguistics-based approach to refining automatic intent detection in conversational agent design,Ferrera A.; Mezzotero G.; Ursino D.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204348144&doi=10.1016%2fj.ins.2024.121493&partnerID=40&md5=220b426249cb41bdf3eeeb76441a3e72,Article,a linguistics-based approach to refining automatic intent detection in conversational agent design,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,,1,,"Conversational agent design (general domain, with experiments in banking and corporate IT helpdesk)",Automatic intent detection and labeling for conversational agent design,"all-mpnet-base-v2, all-distilroberta-v1, all-MiniLM-L12-v2, all-MiniLM-L6-v2, Universal Sentence Encoder (USE)",No,No,standalone,"Unsupervised clustering with sentence embeddings, UMAP dimensionality reduction, HDBSCAN clustering, linguistics-based automatic labeling using spaCy and dependency parsing",N/A,N/A,No,AID (Automatic Intent Detector),No,"Banking77, proprietary corporate dataset","Banking77: Yes, Corporate: No","Adjusted Rand Index (ARI), Normalized Mutual Information (NMI), Fowlkes-Mallows Index, Homogeneity, Completeness, V-measure, Silhouette Score, Density-Based Clustering Validation (DBCV), Human expert evaluation (semantic coherence, variability, label appropriateness), Spearman’s rank correlation","Controlled experiment (public dataset), case study (corporate dataset), human expert evaluation","Functional suitability, Usability, Performance efficiency",1,1,1,1,4,0,0,0,1,0,0,0,1,0,0,"concept/prototype, discussed potential, barriers highlighted (e.g., language adaptation, lemmatizer errors)","Language-specific lemmatization errors, limited to English, not multimodal, no real-time or economic cost analysis"
75,Leveraging Knowledge Graphs for Personalized Internship Recommendations: A Case Study on Software Engineering Courses,Seetaworn S.; Phenhiran P.; Ngokpol P.; Innoy M.; Ingboon S.; Utasri T.; Takhom A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006539753&doi=10.1109%2fICCI64209.2025.10987407&partnerID=40&md5=c241f683265751acd00fc0cd572b97fe,Conference paper,leveraging knowledge graphs for personalized internship recommendations: a case study on software engineering courses,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,,,,Education-to-Work (Software Engineering internships),"Personalized internship recommendation and skill gap identification using course, student, and job data",N/A (LLM type not specified),No,No,"hybrid (LLM for entity extraction and term expansion, KG for reasoning)","LLM-based entity extraction, term expansion, knowledge graph traversal, semantic scoring",N/A,N/A,No,no,No,no,No,"F1-score, precision, recall, skill fulfillment score","case study (18 students, real-world internship logs, human annotation comparison)","functional suitability, performance efficiency, usability",1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,"concept/prototype (case study, not in production)","Granularity of skill extraction, data completeness, and quality of course/internship descriptions"
76,Grounded Ethical AI: A Demonstrative Approach with RAG-Enhanced Agents,de Cerqueira J.A.S.; Khan A.A.; Rousi R.; Xi N.; Hamari J.; Kemell K.-K.; Abrahamsson P.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218445480&partnerID=40&md5=177ec8602df7141e5ba2d379301de978,Conference paper,grounded ethical ai: a demonstrative approach with rag-enhanced agents,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,,,,1,"General domain, with a focus on AI system development and compliance with ethical/legal guidelines (e.g., EU AI Act)","Supporting developers in creating AI systems that align with legal and ethical guidelines, operationalizing AI ethics and regulatory compliance",N/A,No,No,"Retrieval-augmented, multi-agent system",,,Instruction + Descriptive,no,LLM-based multi-agent system with RAG,no (planned open-source in future),AI Incident Database (real-world cases),no,"Citation accuracy, Alignment with ethical/legal requirements","Demonstration with real-world cases, iterative refinement","functional_suitability, usability",1,0.5,0.5,1,3,1,1,0,0,0,0,1,0,0,0,"concept/prototype, open-sourcing planned, not in production","Citation accuracy, practical usability for developers, need for more extensive testing and practitioner feedback"
77,Explainable Security Requirements Classification Through Transformer Models,Petrillo L.; Martinelli F.; Santone A.; Mercaldo F.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216026594&doi=10.3390%2ffi17010015&partnerID=40&md5=dc87d026ef7b9f2e4b4a78be3d949286,Article,explainable security requirements classification through transformer models,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,,,,General software engineering (security requirements classification),Automatic classification of security vs. non-security requirements,"BERT-base-uncased, DistilBERT-base-uncased, RoBERTa-base, XLNet-base-cased",Yes,No,standalone,"fine-tuning, data augmentation (word augmentation, back translation, paraphrasing), SetFit for few-shot learning, attention visualization for explainability","few-shot, fine-tuning",N/A,No,no,No,SecReq,Yes,"accuracy, precision, recall, F1-score","controlled experiment (train/test/validation split, multiple augmentation strategies)","functional suitability, performance efficiency, usability, interpretability",1,1,1,1,4,1,0,0,1,1,0,0,1,0,0,barriers,"Model sensitivity to augmentation, overfitting on small datasets, challenges with paraphrased/augmented data"
78,Do Chase Your Tail! Missing Key Aspects Augmentation in Textual Vulnerability Descriptions of Long-Tail Software Through Feature Inference,Han L.; Pan S.; Xing Z.; Sun J.; Yitagesu S.; Zhang X.; Feng Z.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201171147&doi=10.1109%2fTSE.2024.3523284&partnerID=40&md5=4a57e30cd25f90a5202f5b904815c95c,Article,do chase your tail! missing key aspects augmentation in textual vulnerability descriptions of long-tail software through feature inference,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,,1,1,"Software vulnerability analysis, especially for long-tail (niche) and non-long-tail (mainstream) software","Augmenting missing key aspects (e.g., Attack Vector, Vulnerability Type, Attacker Type, Impact, Root Cause) in Textual Vulnerability Descriptions (TVDs) using LLMs and NLI models","GPT-3.5, GPT-4, LLaMA, T5",No,No,Hybrid,,,Instruction + Descriptive + Fill-in-the-blank + Selection,Yes,no,no,"CVE, NVD, NVD* (custom split), Software-CVE Mapping Database, CWE",yes,"BERTscore, F1-score (for downstream tasks)","Controlled experiment, ablation study, comparison with baselines","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,1,1,0,1,1,0,0,"concept/prototype, discussed potential, barriers highlighted","Vague key aspect descriptions in data, model struggles with complex/long content, lack of qualitative (human) evaluation"
